Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Wed Nov 13 09:15:37 2019] 127.0.0.1:65237 [200]: /css/blog-home.css
[Wed Nov 13 09:15:37 2019] 127.0.0.1:65255 [200]: /css/app.css
[Wed Nov 13 09:15:38 2019] 127.0.0.1:65260 [200]: /js/app.js
[Wed Nov 13 09:15:56 2019] 127.0.0.1:65380 [200]: /favicon.ico
[Wed Nov 13 09:17:40 2019] 127.0.0.1:65415 [200]: /js/app.js
[Wed Nov 13 09:17:40 2019] 127.0.0.1:65417 [200]: /css/app.css
[Wed Nov 13 09:17:41 2019] 127.0.0.1:65419 [200]: /favicon.ico
[Wed Nov 13 09:17:53 2019] 127.0.0.1:65425 [200]: /js/app.js
[Wed Nov 13 09:17:53 2019] 127.0.0.1:65426 [200]: /css/app.css
[Wed Nov 13 09:17:53 2019] 127.0.0.1:65427 [200]: /favicon.ico
[Wed Nov 13 09:18:01 2019] 127.0.0.1:65431 [200]: /css/app.css
[Wed Nov 13 09:18:01 2019] 127.0.0.1:65435 [200]: /css/blog-home.css
[Wed Nov 13 09:18:01 2019] 127.0.0.1:65440 [200]: /js/app.js
[Wed Nov 13 09:18:21 2019] 127.0.0.1:49160 [200]: /favicon.ico
[Wed Nov 13 09:20:44 2019] 127.0.0.1:49197 [200]: /favicon.ico
[Wed Nov 13 09:21:47 2019] 127.0.0.1:49217 [200]: /favicon.ico
[Wed Nov 13 09:26:04 2019] 127.0.0.1:49297 [200]: /css/app.css
[Wed Nov 13 09:26:04 2019] 127.0.0.1:49302 [200]: /css/blog-home.css
[Wed Nov 13 09:26:04 2019] 127.0.0.1:49309 [200]: /js/app.js
[Wed Nov 13 09:26:23 2019] 127.0.0.1:49416 [200]: /favicon.ico
[Wed Nov 13 09:26:56 2019] 127.0.0.1:49424 [200]: /js/app.js
[Wed Nov 13 09:26:56 2019] 127.0.0.1:49427 [200]: /css/app.css
[Wed Nov 13 09:26:56 2019] 127.0.0.1:49428 [200]: /favicon.ico
[Wed Nov 13 09:30:29 2019] 127.0.0.1:49496 [200]: /css/blog-post.css
[Wed Nov 13 09:30:29 2019] 127.0.0.1:49497 [200]: /css/app.css
[Wed Nov 13 09:30:29 2019] 127.0.0.1:49498 [200]: /js/app.js
[Wed Nov 13 09:30:30 2019] 127.0.0.1:49499 [200]: /favicon.ico
[Wed Nov 13 09:30:39 2019] 127.0.0.1:49502 [200]: /js/app.js
[Wed Nov 13 09:30:39 2019] 127.0.0.1:49504 [200]: /css/app.css
[Wed Nov 13 09:30:40 2019] 127.0.0.1:49506 [200]: /favicon.ico
[Wed Nov 13 09:30:49 2019] 127.0.0.1:49512 [200]: /css/blog-post.css
[Wed Nov 13 09:30:49 2019] 127.0.0.1:49513 [200]: /css/app.css
[Wed Nov 13 09:30:49 2019] 127.0.0.1:49514 [200]: /js/app.js
[Wed Nov 13 09:30:49 2019] 127.0.0.1:49515 [200]: /favicon.ico
[Wed Nov 13 09:31:31 2019] 127.0.0.1:49526 [200]: /js/app.js
[Wed Nov 13 09:31:31 2019] 127.0.0.1:49529 [200]: /css/app.css
[Wed Nov 13 09:31:31 2019] 127.0.0.1:49530 [200]: /favicon.ico
[Wed Nov 13 09:31:46 2019] 127.0.0.1:49538 [200]: /css/blog-post.css
[Wed Nov 13 09:31:46 2019] 127.0.0.1:49539 [200]: /js/app.js
[Wed Nov 13 09:31:46 2019] 127.0.0.1:49537 [200]: /css/app.css
[Wed Nov 13 09:31:46 2019] 127.0.0.1:49540 [200]: /favicon.ico
[Wed Nov 13 09:34:23 2019] 127.0.0.1:49581 [200]: /css/blog-post.css
[Wed Nov 13 09:34:23 2019] 127.0.0.1:49585 [200]: /css/app.css
[Wed Nov 13 09:34:23 2019] 127.0.0.1:49586 [200]: /js/app.js
[Wed Nov 13 09:34:24 2019] 127.0.0.1:49587 [200]: /favicon.ico
[Wed Nov 13 09:34:28 2019] 127.0.0.1:49590 [200]: /css/app.css
[Wed Nov 13 09:34:28 2019] 127.0.0.1:49598 [200]: /css/blog-home.css
[Wed Nov 13 09:34:28 2019] 127.0.0.1:49599 [200]: /js/app.js
[Wed Nov 13 09:34:48 2019] 127.0.0.1:49701 [200]: /favicon.ico
[Wed Nov 13 09:35:24 2019] 127.0.0.1:49711 [200]: /css/blog-post.css
[Wed Nov 13 09:35:24 2019] 127.0.0.1:49714 [200]: /css/app.css
[Wed Nov 13 09:35:24 2019] 127.0.0.1:49715 [200]: /js/app.js
[Wed Nov 13 09:35:25 2019] 127.0.0.1:49716 [200]: /favicon.ico
[Wed Nov 13 09:35:30 2019] 127.0.0.1:49718 [200]: /css/app.css
[Wed Nov 13 09:35:30 2019] 127.0.0.1:49723 [200]: /css/blog-home.css
[Wed Nov 13 09:35:30 2019] 127.0.0.1:49728 [200]: /js/app.js
[Wed Nov 13 09:35:50 2019] 127.0.0.1:49833 [200]: /css/blog-post.css
