Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Thu Nov 14 09:08:13 2019] 127.0.0.1:50255 [200]: /favicon.ico
[Thu Nov 14 09:08:40 2019] 127.0.0.1:50263 [200]: /css/blog-home.css
[Thu Nov 14 09:08:40 2019] 127.0.0.1:50272 [200]: /css/app.css
[Thu Nov 14 09:08:40 2019] 127.0.0.1:50271 [200]: /js/app.js
[Thu Nov 14 09:08:42 2019] 127.0.0.1:50288 [200]: /favicon.ico
[Thu Nov 14 09:10:31 2019] 127.0.0.1:50316 [200]: /css/app.css
[Thu Nov 14 09:10:31 2019] 127.0.0.1:50318 [200]: /js/app.js
[Thu Nov 14 09:10:31 2019] 127.0.0.1:50319 [200]: /favicon.ico
[Thu Nov 14 09:10:58 2019] 127.0.0.1:50330 [200]: /css/app.css
[Thu Nov 14 09:10:58 2019] 127.0.0.1:50331 [200]: /js/app.js
[Thu Nov 14 09:10:58 2019] 127.0.0.1:50332 [200]: /favicon.ico
[Thu Nov 14 09:11:01 2019] 127.0.0.1:50334 [200]: /css/app.css
[Thu Nov 14 09:11:01 2019] 127.0.0.1:50337 [200]: /js/app.js
[Thu Nov 14 09:11:01 2019] 127.0.0.1:50338 [200]: /favicon.ico
[Thu Nov 14 09:11:05 2019] 127.0.0.1:50341 [200]: /css/app.css
[Thu Nov 14 09:11:05 2019] 127.0.0.1:50345 [200]: /css/blog-home.css
[Thu Nov 14 09:11:05 2019] 127.0.0.1:50347 [200]: /js/app.js
[Thu Nov 14 09:11:08 2019] 127.0.0.1:50356 [200]: /favicon.ico
[Thu Nov 14 09:18:11 2019] 127.0.0.1:50455 [200]: /css/app.css
[Thu Nov 14 09:18:11 2019] 127.0.0.1:50459 [200]: /js/app.js
[Thu Nov 14 09:18:12 2019] 127.0.0.1:50460 [200]: /favicon.ico
[Thu Nov 14 09:46:48 2019] 127.0.0.1:50923 [200]: /css/app.css
[Thu Nov 14 09:46:48 2019] 127.0.0.1:50926 [200]: /js/app.js
[Thu Nov 14 09:46:48 2019] 127.0.0.1:50927 [200]: /favicon.ico
[Thu Nov 14 09:46:50 2019] 127.0.0.1:50929 [200]: /css/app.css
[Thu Nov 14 09:46:50 2019] 127.0.0.1:50931 [200]: /js/app.js
[Thu Nov 14 09:46:50 2019] 127.0.0.1:50932 [200]: /favicon.ico
[Thu Nov 14 09:47:32 2019] 127.0.0.1:50945 [200]: /favicon.ico
[Thu Nov 14 09:47:38 2019] 127.0.0.1:50950 [200]: /css/app.css
[Thu Nov 14 09:47:38 2019] 127.0.0.1:50954 [200]: /css/blog-home.css
[Thu Nov 14 09:47:38 2019] 127.0.0.1:50958 [200]: /js/app.js
[Thu Nov 14 09:47:41 2019] 127.0.0.1:50965 [200]: /favicon.ico
[Thu Nov 14 09:47:42 2019] 127.0.0.1:50967 [200]: /css/app.css
[Thu Nov 14 09:47:42 2019] 127.0.0.1:50969 [200]: /js/app.js
[Thu Nov 14 09:47:42 2019] 127.0.0.1:50970 [200]: /favicon.ico
[Thu Nov 14 09:48:05 2019] 127.0.0.1:50977 [200]: /favicon.ico
[Thu Nov 14 09:48:14 2019] 127.0.0.1:50983 [200]: /favicon.ico
[Thu Nov 14 09:50:20 2019] 127.0.0.1:51014 [200]: /favicon.ico
[Thu Nov 14 09:51:30 2019] 127.0.0.1:51035 [200]: /favicon.ico
[Thu Nov 14 09:53:45 2019] 127.0.0.1:51067 [200]: /favicon.ico
[Thu Nov 14 09:55:39 2019] 127.0.0.1:51095 [200]: /favicon.ico
[Thu Nov 14 09:55:44 2019] 127.0.0.1:51101 [200]: /favicon.ico
[Thu Nov 14 09:55:47 2019] 127.0.0.1:51103 [200]: /css/app.css
[Thu Nov 14 09:55:47 2019] 127.0.0.1:51106 [200]: /css/blog-post.css
[Thu Nov 14 09:55:47 2019] 127.0.0.1:51107 [200]: /js/app.js
[Thu Nov 14 09:55:48 2019] 127.0.0.1:51110 [200]: /favicon.ico
[Thu Nov 14 09:55:54 2019] 127.0.0.1:51113 [200]: /favicon.ico
[Thu Nov 14 09:56:42 2019] 127.0.0.1:51125 [200]: /favicon.ico
[Thu Nov 14 09:57:09 2019] 127.0.0.1:51136 [200]: /css/app.css
[Thu Nov 14 09:57:09 2019] 127.0.0.1:51139 [200]: /js/app.js
[Thu Nov 14 09:57:10 2019] 127.0.0.1:51140 [200]: /favicon.ico
[Thu Nov 14 09:57:51 2019] 127.0.0.1:51152 [200]: /css/app.css
[Thu Nov 14 09:57:51 2019] 127.0.0.1:51155 [200]: /js/app.js
[Thu Nov 14 09:57:52 2019] 127.0.0.1:51156 [200]: /favicon.ico
[Thu Nov 14 09:58:18 2019] 127.0.0.1:51163 [200]: /css/app.css
[Thu Nov 14 09:58:18 2019] 127.0.0.1:51166 [200]: /js/app.js
[Thu Nov 14 09:58:18 2019] 127.0.0.1:51167 [200]: /favicon.ico
